"","Var2","RICHNESS"
"606","Y71",5
"607","Y72",2
"608","Y73",6
"609","Y74",7
"610","Y75",4
"611","Y76",3
"612","Y77",2
"613","Y78",3
"614","Y79",2
"615","Y8",4
"616","Y80",4
"617","Y81",12
"618","Y82",9
"619","Y83",5
"620","Y84",3
"621","Y85",6
"622","Y86",5
"623","Y87",1
"624","Y88",9
"625","Y89",3
"626","Y9",3
"627","Y90",1
"628","Y91",2
"629","Y92",3
"630","Y93",1
"631","YW1",5
"632","YW2",5
"633","YW3",2
"634","YW4",2
"635","YW5",2
"636","YW6",4
"637","YW7",1
"638","YW8",3
