Species.Code,Site.Code,GS.Type,Abund,Avg.Max.Height..m.,Growth.rate,Shade.tolerance,Drought.tolerance,Tree.Shape,Flowering,Fruiting,Fall.Colour,Leaf.shape,Bark.texture
ACTA,C17,Park,1,5.5,1,4,4,0,1,1,0,2,2
FRPE,C17,Park,2,16.5,2,3,4,0,1,1,0,3,2
TIAM,C17,Park,4,21,1,4,3,0,0,1,0,2,2
TICO,C17,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACNE,C18,Park,1,12,2,4,4,0,1,1,0,3,3
SYRE,C18,Park,5,7.5,1,2,3,0,0,1,1,2,1
ACGI,C2,Park,3,4.5,1,3,3,0,1,1,0,1,3
TICO,C2,Park,1,19.5,1,5,3,1,0,1,0,2,2
ACSC,C20,Park,1,20.5,1,5,3,0,1,1,0,1,2
FRPE,C20,Park,2,16.5,2,3,4,0,1,1,0,3,2
JUNI,C20,Park,2,19,1,2,3,0,1,0,1,3,2
ACPL,C21,Park,1,13.5,2,3,3,0,1,1,0,1,2
CTSP,C21,Park,1,15,2,2,5,0,0,0,0,2,3
PHPU,C22,Park,1,2.1,2,3,3,3,0,1,1,2,3
RHCA,C22,Park,1,6.5,1,2,4,3,1,1,0,2,1
ACNE,C23,Park,2,12,2,4,4,0,1,1,0,3,3
PHPU,C23,Park,2,2.1,2,3,3,3,0,1,1,2,3
PRSE,C23,Park,1,16.5,2,2,3,0,0,0,0,2,3
RHCA,C23,Park,1,6.5,1,2,4,3,1,1,0,2,1
THOC,C23,Park,1,15,0,4,3,1,1,1,1,5,3
TIAM,C23,Park,8,21,1,4,3,0,0,1,0,2,2
TICO,C23,Park,1,19.5,1,5,3,1,0,1,0,2,2
FRPE,C3,Park,2,16.5,2,3,4,0,1,1,0,3,2
QUMA,C3,Park,1,22.5,1,3,4,0,1,1,0,1,2
ACSC,C4,Park,1,20.5,1,5,3,0,1,1,0,1,2
ACNE,C5,Park,1,12,2,4,4,0,1,1,0,3,3
TIAM,C5,Park,1,21,1,4,3,0,0,1,0,2,2
ACGI,C6,Park,2,4.5,1,3,3,0,1,1,0,1,3
ACSA,C6,Park,2,18,2,4,3,0,1,1,0,1,2
ACSA,C7,Park,1,18,2,4,3,0,1,1,0,1,2
FRAM,C7,Park,1,19.5,2,2,3,0,1,1,0,3,2
