Site.Code,GS.Type,Max.Height.cwm,Growth.rate.cwm,Shade.tol.cwm,Drought.tol.cwm,Tree.shape.cwm,Flowering.cwm,Fruiting.cwm,Fall.col.cwm,Leaf.shape.cwm,Bark.cwm,,,,,,,,,,,,,,,
C6,Park,11.25,1.5,3.5,3,0,1,1,0,1,2.5,,,,,,,,,,,,,,,
C7,Park,20.6,2,3,3,0,1,1,0,2,2,,,,,,,,,,,,,,,
C8,Park,17.375,1,3.25,3,0,0.25,0.5,0.25,2.25,1.75,,,,,,,,,,,,,,,
C9,Park,10.44444444,1.555555556,4,3.777777778,0,1,1,0,2.111111111,2.333333333,,,,,,,,,,,,,,,
CC2,Inst,9.625,1.5,3.25,3,1.5,0.5,1,0,1.5,1.5,,,,,,,,,,,,,,,
CC3,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
CC4,Inst,14.25,2,2.5,4,0,1,0.5,0,2,2.5,,,,,,,,,,,,,,,
CC5,Inst,13.4125,0.375,3.625,3,0.75,0.75,0.75,0.75,4.25,2.625,,,,,,,,,,,,,,,
CC6,Inst,12.98,1.4,3,3.4,0.6,0.6,0.8,0,2.2,2,,,,,,,,,,,,,,,
CC7,Inst,17,1.5,3,3.5,0,1,1,0,2,2.5,,,,,,,,,,,,,,,
CC8,Inst,16.25,0.333333333,4.166666667,3,0.833333333,1,1,0.833333333,4.333333333,2.833333333,,,,,,,,,,,,,,,
CO1,Park,14.70930233,0.581395349,3.627906977,3.255813953,0.697674419,0.953488372,0.813953488,0.697674419,4.23255814,2.860465116,,,,,,,,,,,,,,,
CO2,Park,14.07142857,0.857142857,3.5,3.142857143,0.5,0.857142857,0.642857143,0.5,3.5,2.642857143,,,,,,,,,,,,,,,
CP1,Inst,18,2,4,3,0,0,1,0,2,2,,,,,,,,,,,,,,,
CP2,Inst,16.9,1.333333333,2.333333333,3.666666667,0.333333333,1,0.666666667,0.666666667,3,2.333333333,,,,,,,,,,,,,,,
CSC1,Inst,16.125,0.375,4.125,3,1,0.75,1,0.75,3.875,2.625,,,,,,,,,,,,,,,
CSC2,Inst,7.5,0,2,5,0,0,1,1,3,3,,,,,,,,,,,,,,,
CSC3,Inst,16,0.6,2.8,3.2,0.2,0.8,0.6,0.6,3,2.4,,,,,,,,,,,,,,,
CSC4,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
CSC5,Inst,17.25,1.5,3,4,0,1,1,0,1.5,2.5,,,,,,,,,,,,,,,
CSC7,Inst,6.5,0,3,3,4,0,0,0,2,1,,,,,,,,,,,,,,,
CSC8,Inst,8,0.5,2,4,0,0,0.5,0.5,2.5,3,,,,,,,,,,,,,,,
CSC9,Inst,16.83333333,1.666666667,4,3,0,0.666666667,0.666666667,0,1.333333333,2.333333333,,,,,,,,,,,,,,,
G5,Inst,16,1.666666667,4,3.666666667,0.333333333,0.666666667,1,0,2.666666667,2.333333333,,,,,,,,,,,,,,,
H1,Park,9.4625,0.25,3.25,3.125,1.5,0.875,0.875,0.75,4.125,2.875,,,,,,,,,,,,,,,
H2,Park,14.46,1.4,2.6,3.4,0,0.2,0.4,0,2.2,2.4,,,,,,,,,,,,,,,
H3,Park,13.33,1.2,3,3.8,0.6,1,0.7,0.2,2.7,2.4,,,,,,,,,,,,,,,
H4,Park,10.47142857,1,2.285714286,3.285714286,0.571428571,0.428571429,0.142857143,0.142857143,2.428571429,2.428571429,,,,,,,,,,,,,,,
H5,Park,16.4,0.8,3.6,3.2,0.6,1,1,0.6,3.8,2.6,,,,,,,,,,,,,,,
H6,Park,15.2875,1,3.125,3.25,0.625,0.5,0.75,0.25,2.75,2.25,,,,,,,,,,,,,,,
H7,Park,18,1.333333333,2.333333333,3.333333333,0.666666667,1,0.666666667,0,1.333333333,2,,,,,,,,,,,,,,,
IG1,Inst,13.1875,2,3.375,3.5,0.375,0.875,1,0.125,1.75,2.25,,,,,,,,,,,,,,,
IG2,Inst,17.44,1.2,3.8,3.2,1,0.6,1,0.2,1.8,2,,,,,,,,,,,,,,,
IG3,Inst,15.5,0.5,2.5,3.5,2,0.5,1,1,3.5,2,,,,,,,,,,,,,,,
IG4,Inst,21,2,3,4,0,1,1,0,2,3,,,,,,,,,,,,,,,
IG5,Inst,12.91666667,0.833333333,3.333333333,3,1.166666667,0.833333333,0.833333333,0.5,3.166666667,2.333333333,,,,,,,,,,,,,,,
IG7,Inst,12,1.666666667,3,3,1,0.666666667,0.666666667,0,1.666666667,1.666666667,,,,,,,,,,,,,,,
J1,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
J10,Inst,13.5,2,3,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
J11,Inst,13.875,2,3,3.25,0,1,0.75,0,1.25,2,,,,,,,,,,,,,,,
J12,Inst,15,2,3,4,0,1,0,0,2,2,,,,,,,,,,,,,,,
J14,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
J17,Inst,16.8,2,3,3.8,0,1,0.8,0,2,2.4,,,,,,,,,,,,,,,
J19,Inst,13.5,1.25,2.75,3.5,0,0.75,0.5,0,1.5,2.75,,,,,,,,,,,,,,,
J2,Inst,11,0.75,3,3,1.25,0.75,1,0.5,3.25,2.25,,,,,,,,,,,,,,,
J20,Inst,15.25,2,2.833333333,4,0,1,0.333333333,0,2,2.166666667,,,,,,,,,,,,,,,
J3,Inst,10.5,1.6,3,3.4,0,1,0.6,0,1.4,2.4,,,,,,,,,,,,,,,
J6,Inst,15,2,3,4,0,1,0,0,2,2,,,,,,,,,,,,,,,
J7,Inst,14.5,2,3.666666667,3.333333333,0,1,1,0,1.666666667,2.333333333,,,,,,,,,,,,,,,
KP1,Inst,12.75,2,3.5,3.5,0,1,1,0,2,2.5,,,,,,,,,,,,,,,
KP10,Inst,15,0,4,3,1,1,1,1,5,3,,,,,,,,,,,,,,,
KP2,Inst,18,2,4,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
KP4,Inst,12,2,4,4,0,1,1,0,3,3,,,,,,,,,,,,,,,
KP5,Inst,15,2,2,5,0,1,0,0,3,3,,,,,,,,,,,,,,,
KP6,Inst,12.75,2,3.75,4,0,1,0.75,0,2.75,2.75,,,,,,,,,,,,,,,
KP7,Inst,14.5275,0.15,3.875,2.975,1.05,0.925,0.975,0.925,4.675,2.875,,,,,,,,,,,,,,,
KP8,Inst,15.66666667,0.444444444,4,3,0.777777778,1,1,0.777777778,4.111111111,2.777777778,,,,,,,,,,,,,,,
KP9,Inst,14.07272727,1.909090909,3.454545455,3.454545455,0.363636364,0.909090909,0.909090909,0,2.545454545,2.545454545,,,,,,,,,,,,,,,
KS1,Inst,15,0,4,3,1,1,1,1,5,3,,,,,,,,,,,,,,,
KS2,Inst,10.5,0.8,2.8,3.2,1,0.6,0.6,0.6,3.4,2.2,,,,,,,,,,,,,,,
LH10,Inst,10.85,0.75,1.25,4.75,1.5,1,0.75,1,5,3,,,,,,,,,,,,,,,
LH12,Inst,15.75,2,3.5,3,0,1,1,0,1,2,,,,,,,,,,,,,,,
LH2,Inst,4.214285714,1,2.857142857,3,2.571428571,0,0.857142857,0,2,1.285714286,,,,,,,,,,,,,,,
LH3,Inst,11.95714286,1.428571429,2.285714286,3.714285714,0.714285714,1,0.857142857,0.428571429,2.714285714,2.428571429,,,,,,,,,,,,,,,
LH4,Inst,19.5,1.5,4,3,0,0.5,1,0,1.5,2,,,,,,,,,,,,,,,
