fid,Sample Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,layer,DBH,DBH Round,index,,
497,St. Catherine de Sienne School,I12,ALGL,Alnus Glutinosa,45.4615614,-73.6440903,CSC3,5,5,26,,
498,St. Catherine de Sienne School,I12,PNRE,Pinus Resinosa,45.4615614,-73.6440903,CSC3,5.3,5,27,,
499,St. Catherine de Sienne School,I12,PNRE,Pinus Resinosa,45.4616686,-73.6440219,CSC3,6,6,28,,
501,St. Catherine de Sienne School,I12,AMAR,Amelanchier Arborea,45.461642,-73.6437818,CSC3,6.1,6,30,,
503,St. Catherine de Sienne School,I12,GIBI,Ginkgo Biloba,45.4615517,-73.643584,CSC3,7.6,8,32,,
122,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4612491,-73.6432692,CC6,55.3,55,33,,
123,St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.4612002,-73.6432266,CC6,32.1,32,34,,
124,St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.461206,-73.6430693,CC6,16,16,35,,
125,St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.461148,-73.6429258,CC6,18.9,19,36,,
126,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4611004,-73.6428517,CC7,29.5,30,37,,
127,St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.4610576,-73.6427961,CC7,17.5,18,38,,
128,St. Catherine de Sienne Church,I4,PRCE,Prunus Cerasifera,45.4612034,-73.6433097,CC6,7.9,8,39,,
129,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4610445,-73.6434609,CC2,74,74,40,,
130,St. Catherine de Sienne Church,I4,PRDO,Prunus Domestica,45.4607444,-73.6429862,CC5,11.1,11,41,,
131,St. Catherine de Sienne Church,I4,PYCO,Pyrus Communis,45.4607089,-73.642951,CC5,8.6,9,42,,
132,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608197,-73.6429761,CC5,68.7,69,43,,
133,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4607766,-73.6429486,CC5,59.9,60,44,,
134,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608194,-73.6429721,CC5,26.3,26,45,,
135,St. Catherine de Sienne Church,I4,ACSA,Acer Saccharinum,45.4609601,-73.6435441,CC2,70.6,71,46,,
136,St. Catherine de Sienne Church,I4,ACSA,Acer Saccharinum,45.4608446,-73.6436363,CC8,19,19,47,,
137,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.46072,-73.6435454,CC3,80.5,81,48,,
138,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4606849,-73.6434174,CC3,61.6,62,49,,
139,St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4606273,-73.6432621,CC4,56.8,57,50,,
140,St. Catherine de Sienne Church,I4,GLTR,Gleditsia Triacanthos,45.4605589,-73.6431116,CC4,4.5,5,51,,
141,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608039,-73.6432574,CC5,20,20,52,,
142,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608107,-73.6432363,CC5,6.7,7,53,,
143,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608227,-73.6432142,CC5,9.6,10,54,,
144,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608787,-73.6431864,CC8,8.8,9,55,,
145,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.460882,-73.6431682,CC8,10,10,56,,
146,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.460886,-73.6431807,CC8,11.1,11,57,,
147,St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.460873,-73.6431568,CC8,4.5,5,58,,
148,St. Catherine de Sienne Church,I4,PIRU,Picea Rubens,45.4609147,-73.6432078,CC8,15.1,15,59,,
