Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4675965,-73.6344963,33.1,33,108
St. Monica Church,I3,ACPL,Acer Platanoides,45.4676046,-73.6345392,5.9,6,109
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4676103,-73.634552,53.2,53,110
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4676514,-73.6345563,6.4,6,111
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4676561,-73.6345714,16.3,16,112
St. Monica Church,I3,ULAM,Ulmus Americana,45.4676585,-73.6345922,8.9,9,113
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4676034,-73.6346231,7.5,8,114
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.4676109,-73.6346522,7.6,8,115
St. Monica Church,I3,SYVU,Syringa Vulgaris,45.467619,-73.63467,9.9,10,116
St. Monica Church,I3,PRVI,Prunus Virginiana,45.467622,-73.6346781,5.7,6,117
St. Monica Church,I3,ACNE,Acer Negundo,45.4677071,-73.63485,54.4,54,118
St. Monica Church,I3,MABA,Malus Baccata,45.4677523,-73.6349657,8.7,9,119
St. Monica Church,I3,MABA,Malus Baccata,45.4677791,-73.6350009,12.6,13,120
St. Monica Church,I3,PNRE,Pinus Resinosa,45.4678028,-73.6350898,46.4,46,121
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4612491,-73.6432692,55.3,55,122
St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.4612002,-73.6432266,32.1,32,123
St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.461206,-73.6430693,16,16,124
St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.461148,-73.6429258,18.9,19,125
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4611004,-73.6428517,29.5,30,126
St. Catherine de Sienne Church,I4,GYDI,Gymnocladus Dioicus,45.4610576,-73.6427961,17.5,18,127
St. Catherine de Sienne Church,I4,PRCE,Prunus Cerasifera,45.4612034,-73.6433097,7.9,8,128
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.461087,-73.6434673,74,74,129
St. Catherine de Sienne Church,I4,PRCO,Prunus Domestica,45.4607444,-73.6429862,11.1,11,130
St. Catherine de Sienne Church,I4,PYCO,Pyrus Communis,45.4607089,-73.642951,8.6,9,131
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608197,-73.6429761,68.7,69,132
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608476,-73.642956,59.9,60,133
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608608,-73.6429922,26.3,26,134
St. Catherine de Sienne Church,I4,ACSA,Acer Saccharinum,45.4609601,-73.6435441,70.6,71,135
St. Catherine de Sienne Church,I4,ACSA,Acer Saccharinum,45.4608446,-73.6436363,19,19,136
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.46072,-73.6435454,80.5,81,137
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4606849,-73.6434174,61.6,62,138
St. Catherine de Sienne Church,I4,ACPL,Acer Platanoides,45.4606273,-73.6432621,56.8,57,139
St. Catherine de Sienne Church,I4,GLTR,Gleditsia Triacanthos,45.4605589,-73.6431116,4.5,5,140
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608039,-73.6432574,20,20,141
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608107,-73.6432363,6.7,7,142
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608227,-73.6432142,9.6,10,143
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.460889,-73.6431387,8.8,9,144
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4609057,-73.6431233,10,10,145
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4609203,-73.6431136,11.1,11,146
St. Catherine de Sienne Church,I4,THOC,Thuja Occidentalis,45.4608947,-73.643119,4.5,5,147
St. Catherine de Sienne Church,I4,PIRU,Picea Rubens,45.4609255,-73.6431391,15.1,15,148
St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.4609401,-73.6431605,29.1,29,149
St. Catherine de Sienne Church,I4,SYVU,Syringa Vulgaris,45.4607338,-73.6431324,88.6,89,150
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4542769,-73.6435855,48.3,48,151
St. Phillips Church,I5,TIAM,Tilia Americana,45.4541748,-73.6434814,116.1,116,152
St. Phillips Church,I5,TIAM,Tilia Americana,45.4540979,-73.6435069,102.3,102,153
St. Phillips Church,I5,ULAM,Ulmus Americana,45.4541637,-73.6434385,12.6,13,154
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.454049,-73.6434348,24.8,25,155
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.453885,-73.6436041,80.3,80,156
St. Phillips Church,I5,FRPE,Fraxinus Pennsylvanica,45.4538982,-73.643817,13.4,13,157
St. Phillips Church,I5,ACNE,Acer Negundo,45.4538907,-73.6437852,22.1,22,158
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538763,-73.643809,74.2,74,159
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538495,-73.6437731,11.6,12,160
St. Phillips Church,I5,PRPA,Prunus Padus,45.4538243,-73.6437738,23,23,161
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538333,-73.6431932,5,5,162
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538493,-73.6438284,7,7,163
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538385,-73.6438314,11.8,12,164
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538319,-73.643811,22.5,23,165
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538274,-73.6437624,22.8,23,166
St. Phillips Church,I5,PIGL,Picea Glauca,45.4538051,-73.6437855,25.9,26,167
St. Phillips Church,I5,GLTR,Gleditsia Triacanthos,45.4537874,-73.6438026,32.3,32,168
St. Phillips Church,I5,THOC,Thuja Occidentalis,45.4537218,-73.6436011,20,20,169
St. Phillips Church,I5,ACNE,Acer Negundo,45.4538124,-73.6437704,21,21,170
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4538234,-73.6438314,19,19,171
St. Phillips Church,I5,ULAM,Ulmus Americana,45.4537011,-73.6435193,6.3,6,172
St. Phillips Church,I5,GLTR,Gleditsia Triacanthos,45.4536371,-73.6435203,35.5,36,173
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4537406,-73.6433439,81.6,82,174
St. Phillips Church,I5,GLTR,Gleditsia Triacanthos,45.4536044,-73.6433741,38.6,39,175
St. Phillips Church,I5,PIPU,Picea Pungens,45.4538973,-73.6432427,44.3,44,176
St. Phillips Church,I5,AMLA,Amelanchier Laevis,45.453977,-73.6432004,30.3,30,177
St. Phillips Church,I5,BENI,Betula Nigra,45.4537449,-73.643235,5.2,5,178
St. Phillips Church,I5,CORU,Cornus Rugosa,45.4538368,-73.643011,30.3,30,179
St. Phillips Church,I5,MABA,Malus Baccata,45.4536877,-73.6429265,23.7,24,180
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4536202,-73.6428179,40.3,40,181
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4536623,-73.6429463,109.6,110,182
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4535501,-73.6430046,78.2,78,183
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4535426,-73.642951,21.4,21,184
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4535416,-73.6429989,9.3,9,185
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4535045,-73.6429168,23.3,23,186
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4535075,-73.6430301,91.4,91,187
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4534894,-73.6430023,23.5,24,188
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.453473,-73.6429909,16.4,16,189
St. Phillips Church,I5,RHCA,Rhamnus Cathartica,45.453423,-73.6429647,7,7,190
St. Phillips Church,I5,ACPLCK,Acer Platanoides Â¬Crimson KingÂ¬,45.453405,-73.6428658,31.5,32,191
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4534525,-73.6427619,25.8,26,192
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535083,-73.6427465,9.3,9,193
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535315,-73.6427237,7.2,7,194
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4536384,-73.6427066,12.5,13,195
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535546,-73.6426895,18.3,18,196
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.45361,-73.642674,9.7,10,197
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.453638,-73.642647,13.2,13,198
St. Phillips Church,I5,ACPL,Acer Platanoides,45.453593,-73.642731,22.2,22,199
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4534857,-73.6427321,42.8,43,200
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4535014,-73.6427233,27,27,201
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535118,-73.6427146,16.2,16,202
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535306,-73.6427039,6,6,203
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535551,-73.6426915,6.2,6,204
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4535929,-73.6427233,9.3,9,205
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4536249,-73.6426955,84.3,84,206
St. Phillips Church,I5,PRVI,Prunus Virginiana,45.4536741,-73.6426295,32.7,33,207
St. Phillips Church,I5,ACPL,Acer Platanoides,45.4537726,-73.6427421,75.7,76,208
St. Phillips Church,I5,LOXY,Lonicera Xylosteum,45.4537035,-73.6425661,33.8,34,209
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4538319,-73.6424726,41.4,41,210
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4539648,-73.6425859,84.1,84,211
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4540838,-73.6428434,48,48,212
St. Phillips Church,I5,ACSA,Acer Saccharinum,45.4541,-73.6429,44.8,45,213
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4623583,-73.6379041,7.6,8,214
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4623477,-73.6379115,10.9,11,215
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4623449,-73.6379363,7.1,7,216
Ywen Kuok Buddhist Temple,I6,ACNE,Acer Negundo,45.4623343,-73.6379128,9.2,9,217
Ywen Kuok Buddhist Temple,I6,RHCA,Rhamnus Cathartica,45.4623247,-73.6369225,19,19,218
Ywen Kuok Buddhist Temple,I6,ACFR,Acer Freemannii,45.4623247,-73.6379503,83.1,83,219
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4622986,-73.6379567,12.7,13,220
Ywen Kuok Buddhist Temple,I6,CEOC,Celtis Occidentalis,45.4622781,-73.6379795,5.1,5,221
Ywen Kuok Buddhist Temple,I6,ULPU,Ulmus Pumila,45.4622407,-73.6379966,65.7,66,222
Ywen Kuok Buddhist Temple,I6,LOXY,Lonicera Xylosteum,45.4622087,-73.6380566,12.3,12,223
Ywen Kuok Buddhist Temple,I6,ACNE,Acer Negundo,45.4622087,-73.6380566,6.7,7,224
Ywen Kuok Buddhist Temple,I6,ACFR,Acer Freemannii,45.462137,-73.638117,68,68,225
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4620145,-73.6382826,59.1,59,226
Ywen Kuok Buddhist Temple,I6,CEOC,Celtis Occidentalis,45.4619999,-73.6389033,5.7,6,227
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4620996,-73.6384519,54.4,54,228
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4620166,-73.6384559,54.5,55,229
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4620446,-73.6385512,52.4,52,230
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4620679,-73.6386363,46,46,231
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.46213,-73.6388174,81.6,82,232
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4622953,-73.6387054,9.3,9,233
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.462497,-73.6385056,49.7,50,234
Ywen Kuok Buddhist Temple,I6,EUAL,Euonymus Alatus,45.4623317,-73.6384875,17.3,17,235
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4623886,-73.638579,44.4,44,236
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4624498,-73.6385304,71.6,72,237
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625013,-73.6383601,6.5,7,238
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625375,-73.6383466,11.6,12,239
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625516,-73.6383326,20.4,20,240
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625695,73.6383279,26.2,26,241
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625798,73.6383121,15.8,16,242
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.4625768,73.6382863,9.2,9,243
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462586,-73.638314,6.3,6,244
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462599,-73.638313,15.2,15,245
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462606,-73.638302,14,14,246
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462615,-73.638295,10.3,10,247
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462619,-73.638288,17,17,248
Ywen Kuok Buddhist Temple,I6,THOC,Thuja Occidentalis,45.462622,-73.638278,23.3,23,249
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.462648,73.6384284,39.7,40,250
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4627364,73.6383668,27.7,28,251
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4627324,73.6382437,65,65,252
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4626863,73.6381277,19.5,20,253
Ywen Kuok Buddhist Temple,I6,ACPL,Acer Platanoides,45.4626428,73.6380211,47.2,47,254
Ywen Kuok Buddhist Temple,I6,ACSA,Acer Saccharinum,45.4626,73.6379229,21.3,21,255
