Site:,Site Code:,Species Code:,Species latin,Latitude,Longitude,DBH,DBH Round,Index
St. Monica School,I16,ACNE,Acer Negundo,45.46746,-73.634273,63.1,63,584
St. Monica School,I16,PIPU,Picea Pungens,45.46748,-73.634342,29.4,29,585
St. Monica School,I16,PIPU,Picea Pungens,45.4675014,-73.634338,24.6,25,586
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674894,-73.634223,11.4,11,587
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674875,-73.634221,12.5,13,588
St. Monica School,I16,EUAL,Euonymus Alatus,45.4674675,-73.63424,18.6,19,589
St. Monica School,I16,ACNE,Acer Negundo,45.4675585,-73.634175,79.4,79,590
St. Monica School,I16,ACNE,Acer Negundo,45.4676107,-73.633984,103.6,104,591
St. Monica School,I16,ACNE,Acer Negundo,45.4677031,-73.633963,89.7,90,592
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4676601,-73.634245,21.9,22,593
St. Monica School,I16,ULXXHO,Ulmus 'Homestead',45.4677179,-73.634201,20,20,594
St. Monica School,I16,ACFR,Acer Freemannii,45.4678228,-73.633919,9.7,10,595
St. Monica School,I16,FRPE,Fraxinus Pennsylvanica,45.4678285,-73.633904,5.4,5,596
St. Monica School,I16,ACNE,Acer Negundo,45.4678407,-73.633895,9,9,597
St. Monica School,I16,ACSA,Acer Saccharinum,45.4679352,-73.633917,73.8,74,598
St. Monica School,I16,ACSA,Acer Saccharinum,45.4679035,-73.633806,34.7,35,599
St. Monica School,I16,ACSA,Acer Saccharinum,45.4678101,-73.633638,46.4,46,600
St. Monica School,I16,ACSA,Acer Saccharinum,45.467768,-73.633556,41.7,42,601
St. Monica School,I16,ACSA,Acer Saccharinum,45.4677424,-73.63344,45.3,45,602
St. Monica School,I16,ACSA,Acer Saccharinum,45.4677074,-73.633381,48.6,49,603
St. Monica School,I16,ULAM,Ulmus Americana,45.4676846,-73.633377,13.7,14,604
St. Monica School,I16,ACSA,Acer Saccharinum,45.4676601,-73.633325,61.5,62,605
St. Monica School,I16,ULAM,Ulmus Americana,45.4676488,-73.633335,14.8,15,606
St. Monica School,I16,ACNE,Acer Negundo,45.4674433,-73.633518,6.9,7,607
St. Monica School,I16,ACNE,Acer Negundo,45.4674602,-73.633496,21.6,22,608
St. Monica School,I16,ACNE,Acer Negundo,45.4674751,-73.633481,7.8,8,609
St. Monica School,I16,ACNE,Acer Negundo,45.4674875,-73.63347,4.7,5,610
St. Monica School,I16,FRAM,Fraxinus Americana,45.4675073,-73.633448,15.1,15,611
St. Monica School,I16,ULAM,Ulmus Americana,45.4675183,-73.63344,7.4,7,612
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675381,-73.633426,18.1,18,613
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675454,-73.633421,9.8,10,614
St. Monica School,I16,FRAM,Fraxinus Americana,45.4675573,-73.633396,14.5,15,615
St. Monica School,I16,ULPU,Ulmus Pumila,45.4675839,-73.633378,34.7,35,616
St. Monica School,I16,ULPU,Ulmus Pumila,45.467278,-73.633664,24.3,24,617
St. Monica School,I16,CEOC,Celtis Occidentalis,45.4672559,-73.633688,11.3,11,618
